,songid,song_title,artist_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,category
3275,27bzdvjicqDquFSjQrm3fh,Wouldnt Be Love - Acoustic,R I T U A L,46,0.581,0.226,5,-10.51,0.0638,0.9540000000000001,0.0,0.299,0.387,141.878,4,Pop
3276,7dzUZec5MnWMyQnk5klnKR,Grace Kelly,MIKA,56,0.6779999999999999,0.847,0,-5.825,0.0519,0.0219,0.0329,0.373,0.6,122.287,4,Pop
3277,4KacUpvbA3Mfo05gttTjhN,Fat Lip,Sum 41,68,0.574,0.9109999999999999,9,-5.176,0.0715,0.000618,0.0,0.0769,0.613,98.075,4,Pop
3278,6vGVf8K3ri7VfkCj6PtZRy,Radioactive,Pentatonix,64,0.49700000000000005,0.6,8,-7.6770000000000005,0.0721,0.504,0.0,0.265,0.446,134.993,4,Pop
3279,3DamFFqW32WihKkTVlwTYQ,Fireflies,Owl City,74,0.591,0.649,3,-6.72,0.0417,0.0294,0.0,0.133,0.48200000000000004,90.00200000000001,4,Pop
3280,72TcMsVMm8ej4gpYGEYk72,Goodbye Seventies,Yaz,32,0.7170000000000001,0.628,8,-17.392,0.0377,0.0587,0.0711,0.0998,0.889,130.822,4,Pop
3281,5lUTzPuiloBHm1qEaJcJfF,Candyman,Christina Aguilera,62,0.6859999999999999,0.789,8,-4.713,0.23,0.0125,0.0147,0.142,0.72,172.976,4,Pop
3282,20fksfq6sLM4RcepYoaJLi,Said,Nasty_C,40,0.7929999999999999,0.607,11,-8.511000000000001,0.14400000000000002,0.691,0.0,0.0601,0.564,103.03299999999999,4,Pop
3283,3ooKsUCAz3EgEjZAPRwtCm,Helpless,John Mayer,54,0.765,0.597,9,-5.858,0.0267,0.149,0.00145,0.0341,0.9440000000000001,103.96799999999999,4,Pop
3284,4RM7fLl8mz383Vx7tqfI6J,Confession,Kofi Kinaata,40,0.883,0.536,7,-5.952999999999999,0.0718,0.22899999999999998,6.3e-05,0.16699999999999998,0.7120000000000001,105.04899999999999,4,Pop
3285,3M7hiEYQXxekkGg3k32Xyt,Dirty Diana,GB,32,0.86,0.8340000000000001,1,-7.2829999999999995,0.0985,0.46399999999999997,0.0085,0.0756,0.775,115.04700000000001,4,Pop
3286,3giKzSRMVnu5tX82sEEqSv,Maps,Freya Ridings,59,0.391,0.125,7,-8.464,0.0292,0.9209999999999999,5e-06,0.0993,0.131,95.04899999999999,4,Pop
3287,1Je1IMUlBXcx1Fz0WE7oPT,Wannabe - Radio Edit,Spice Girls,81,0.768,0.8640000000000001,11,-6.145,0.0324,0.10099999999999999,0.0,0.162,0.8759999999999999,110.008,4,Pop
3288,2XdgSB4TtzUHQYCMfSHbFI,High End,Chris Brown,36,0.725,0.503,10,-5.646,0.209,0.0144,2e-06,0.124,0.0636,153.047,4,Pop
3289,1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn - Radio Edit,ZAYN,99,0.258,0.43700000000000006,11,-6.593,0.039,0.10099999999999999,1e-06,0.106,0.0967,180.043,4,Pop
3290,0ghghrqowThKrKukjhz9XR,Love You Tire,Mayorkun,45,0.8590000000000001,0.69,7,-4.12,0.0614,0.336,7.000000000000001e-06,0.0864,0.79,108.994,4,Pop
3291,1ZyMdpNyiw4VYsbmHFgzEp,Silhouette,Aquilo,65,0.46399999999999997,0.41200000000000003,1,-8.342,0.032,0.721,0.0,0.0393,0.113,132.259,3,Pop
3292,2TmWgYDevPOukQGNJPeZrN,Come Sail Away,Tufts Beelzebubs,34,0.376,0.521,0,-7.672999999999999,0.042,0.632,2e-06,0.215,0.17600000000000002,122.81700000000001,3,Pop
3293,7dOZxMY4U4YZ3eFwOTABXK,Mexican Radio,Wall Of Voodoo,46,0.49700000000000005,0.7040000000000001,0,-12.056,0.0346,0.0133,0.000394,0.371,0.5770000000000001,164.679,4,Pop
3294,2uXewDKMktNkkMfotqSxN6,Something About You - Single Version,Level 42,52,0.7,0.5870000000000001,6,-13.484000000000002,0.0282,0.0384,0.0225,0.0719,0.877,105.324,4,Pop
3296,4agp6oHofabdUedr0B1krj,Steal My Sunshine,Len,59,0.413,0.8290000000000001,4,-11.110999999999999,0.529,0.39399999999999996,0.0,0.10800000000000001,0.6829999999999999,191.477,4,Pop
3297,0QSpX88FigdeGYsrAQZj9C,Slide - Acoustic Version,Porcelain Heart,69,0.6579999999999999,0.336,3,-8.935,0.0624,0.7509999999999999,0.0,0.11,0.493,91.676,4,Pop
3298,1xOIge04mz7Tj1KOPKoqTq,Turn It Around,Lucius,2,0.528,0.9079999999999999,2,-5.609,0.0608,0.004379999999999999,0.000524,0.335,0.493,121.491,4,Pop
3299,1PxTFIjG0IjuQDILHr4bXJ,The Man,Aloe Blacc,6,0.52,0.7609999999999999,11,-7.196000000000001,0.0478,0.036000000000000004,0.0,0.2,0.469,86.012,4,Pop
3300,19fm0eNKTeg1JbHCHwPhLe,All Star,Smash Mouth,54,0.738,0.861,11,-5.916,0.0324,0.0369,0.0,0.0942,0.7559999999999999,104.027,4,Pop
3301,1A5V1sxyCLpKJezp75tUXn,Closing Time,Semisonic,60,0.484,0.841,7,-5.438,0.0291,0.0196,2e-06,0.14800000000000002,0.28600000000000003,92.124,4,Pop
3302,2ZE3DJuizYTad2S4CvRRhK,Easy Love,Lauv,79,0.745,0.48100000000000004,2,-8.291,0.054000000000000006,0.302,4e-06,0.0808,0.22899999999999998,137.001,4,Pop
3303,0kdiUZDcLIFw0Buo9r0Q4z,Greatest Love Story,LANCO,80,0.665,0.621,10,-8.571,0.0524,0.38,0.0,0.11900000000000001,0.632,147.975,4,Pop
3304,0FutrWIUM5Mg3434asiwkp,Never Gonna Give You Up,Rick Astley,59,0.695,0.976,8,-6.982,0.0428,0.0262,2.4e-05,0.182,0.932,113.35700000000001,4,Pop
3305,5OMwQFBcte0aWFJFqrr5oj,TiK ToK,Kesha,72,0.755,0.8320000000000001,2,-2.741,0.11599999999999999,0.0746,1e-06,0.29100000000000004,0.7190000000000001,120.03200000000001,4,Pop
3306,2chyJjEMYj397jz1QLEGO7,Written in the Stars (feat. Eric Turner),Tinie Tempah,51,0.619,0.971,7,-3.045,0.13,0.0526,0.0,0.196,0.304,122.552,5,Pop
3307,2gPJ00vC3WKoAja0rNk0F1,Most Girls - Acoustic,Clementine Duo,70,0.603,0.332,11,-8.261000000000001,0.0412,0.792,0.0,0.128,0.499,173.9,4,Pop
3308,2QoyYV4YAuw9T9UgsDoam2,Starboy - Acoustic,Simon Samaeng,70,0.585,0.397,7,-9.847000000000001,0.0528,0.782,0.0,0.26899999999999996,0.22399999999999998,86.837,4,Pop
3309,3P6oKxLPu8AMIB6y1wF86y,Chantaje,Mechi Pieretti,60,0.569,0.55,1,-4.159,0.0384,0.8420000000000001,0.0,0.113,0.574,88.978,4,Pop
3310,6i09oKaV93wnEE5ighvD1E,Surround Me,LÉON,66,0.539,0.531,5,-7.928,0.18899999999999997,0.337,0.0,0.0819,0.387,177.953,4,Pop
3311,2Za1AlJNvksouPPWbXpR2X,Good Old Days (feat. Kesha),Macklemore,87,0.7120000000000001,0.51,8,-8.162,0.0633,0.446,2.5e-05,0.11199999999999999,0.268,122.964,4,Pop
3312,1EZtB75i7g87yZzJucQKOq,Multiply,Jamie Lidell,54,0.8320000000000001,0.593,5,-6.013999999999999,0.0916,0.14800000000000002,0.0,0.276,0.731,111.075,4,Pop
3313,3HEZ6dNm68TrRF7JbiTf9B,When Love Breaks Down,Prefab Sprout,32,0.495,0.379,1,-14.265,0.0422,0.8420000000000001,2.2e-05,0.0997,0.295,133.115,4,Pop
3314,2vMh4fZ2LatXDlQNzuFHlZ,On Lock (remix),Angelo King,53,0.7040000000000001,0.568,0,-4.819,0.413,0.424,0.0,0.13,0.44,86.895,1,Pop
3315,7LP4Es66zdY7CyjepqmvAg,Down,Jay Sean,69,0.6629999999999999,0.693,11,-4.505,0.0311,0.0149,0.0,0.0778,0.696,66.002,4,Pop
3316,2TUdxbIF3rpY887d8m0ZGV,Baby,Ariel Pink,64,0.622,0.253,2,-14.36,0.0331,0.435,0.47100000000000003,0.0941,0.32799999999999996,92.584,4,Pop
3317,5Muvh0ooAJkSgBylFyI3su,Steal My Sunshine - Single Version,Len,53,0.405,0.9440000000000001,4,-8.472999999999999,0.249,0.527,0.0,0.214,0.72,192.14700000000002,4,Pop
3318,3WimH2U1PohKGB3D4yXq9t,"100 Days, 100 Nights",Various Artists,2,0.445,0.57,9,-5.96,0.0321,0.529,0.0,0.373,0.6859999999999999,109.24600000000001,4,Pop
3319,1Shz7ObjzJlIEn24sXu5JK,Theres an End,Holly Golightly,39,0.721,0.589,7,-7.671,0.0284,0.0392,0.73,0.0949,0.779,118.772,4,Pop
3320,2bjUaPcNAcVekh2SJ3SIR8,Coming Up,Tungevaag & Raaban,24,0.659,0.86,4,-3.1639999999999997,0.0411,0.00548,0.0049,0.0398,0.275,114.975,4,Pop
3321,1B75hgRqe7A4fwee3g3Wmu,U Cant Touch This,MC Hammer,72,0.867,0.517,11,-13.222000000000001,0.0875,0.00456,0.000339,0.0864,0.863,133.148,4,Pop
3322,3F42FHouOY59SnSsyD2TAX,U Said,Lil Peep,64,0.265,0.8270000000000001,7,-4.6610000000000005,0.10400000000000001,0.0434,0.0,0.11699999999999999,0.11800000000000001,82.03200000000001,4,Pop
3323,42jG6qZg93rsTuuO4eodx6,Wishlist,Kiiara,34,0.626,0.585,0,-6.44,0.042,0.13699999999999998,0.0,0.10400000000000001,0.188,124.978,4,Pop
