category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Romance,3ekNuTF3UpOvIZCfiejpnC,70,0.598,0.56,0,-11.679,0.0375,0.607,0.0432,0.196,0.225,115.01,4
Romance,4G8wt3fUBpgBjI35TBF2eQ,45,0.45899999999999996,0.14,9,-15.482000000000001,0.0367,0.895,0.00539,0.138,0.153,128.89700000000002,4
Romance,2uthGAtv4a62CMq4kWfeXn,64,0.775,0.9009999999999999,11,-2.875,0.191,0.0348,0.0,0.10800000000000001,0.895,92.991,4
Romance,6lanRgr6wXibZr8KgzXxBl,81,0.42100000000000004,0.40700000000000003,10,-7.445,0.0267,0.309,0.0009609999999999999,0.11,0.168,139.028,3
Romance,3wAnnPyxgYbKW86WOeC22K,50,0.344,0.523,6,-4.3469999999999995,0.0349,0.508,0.0,0.326,0.322,180.044,4
Romance,7vFv0yFGMJW3qVXbAd9BK9,77,0.647,0.7290000000000001,5,-6.251,0.0236,0.0206,0.0489,0.134,0.6829999999999999,94.01,4
Romance,5UzTtUZper0CphnqZYvsIu,72,0.319,0.426,11,-8.929,0.0382,0.245,8e-06,0.10800000000000001,0.152,114.553,4
Romance,0AoBVHrn422YM52l4TAS0P,31,0.0695,0.0108,4,-26.729,0.0429,0.965,0.76,0.0777,0.0373,75.279,3
Romance,4rBhEjYhPOoXqHAdzLJppX,7,0.807,0.445,8,-9.782,0.0439,0.747,0.0267,0.0628,0.784,130.04,4
Romance,2ZnEPJFA9kTQX8V40lqssM,37,0.5,0.5379999999999999,7,-7.504,0.0425,0.551,7.000000000000001e-06,0.0663,0.24,129.865,4
Romance,0cx32rX0uZvcJUP92Wkj2y,26,0.429,0.5429999999999999,5,-9.139,0.0347,0.536,2.5e-05,0.125,0.6779999999999999,122.619,4
Romance,2JZfTvWWtpaE8NohqRXqFr,24,0.546,0.485,2,-9.424,0.027000000000000003,0.000128,0.318,0.0939,0.102,109.913,4
Romance,7aR1QwbQa26sjDXiVMLik4,54,0.637,0.8370000000000001,2,-8.605,0.0363,0.0393,0.00294,0.142,0.8220000000000001,172.455,4
Romance,4m9DSdV4XU49dDJ8yhaMMv,62,0.512,0.384,5,-8.799,0.0331,0.512,0.000193,0.128,0.271,121.992,4
Romance,2Ysz9dAuKqu1lpsz7VUBJ0,54,0.526,0.345,1,-7.292000000000001,0.0299,0.7490000000000001,0.0,0.11699999999999999,0.157,127.934,4
Romance,44rtc66Yh6F8HxDDyKJoo9,43,0.518,0.466,7,-13.394,0.0322,0.168,0.0114,0.105,0.418,123.654,4
Romance,2ed0AecI9FF3nsKHQvChT4,28,0.5479999999999999,0.611,7,-5.347,0.102,0.418,0.0,0.172,0.695,93.68799999999999,4
Romance,5Xak5fmy089t0FYmh3VJiY,74,0.36,0.684,4,-6.457000000000001,0.0308,0.32299999999999995,0.0,0.34,0.205,77.15,4
Romance,0sZfuG1rArPovx9CdZ40vZ,76,0.6779999999999999,0.607,0,-7.19,0.075,0.174,0.0,0.0788,0.445,91.973,4
Romance,0vFrEJcKVPDXC4rRhCD2XS,67,0.45299999999999996,0.436,11,-8.958,0.0742,0.738,0.00137,0.0745,0.0768,74.988,4
Romance,5IMtdHjJ1OtkxbGe4zfUxQ,70,0.8340000000000001,0.496,0,-13.652999999999999,0.0597,0.501,3e-06,0.0449,0.94,138.791,4
Romance,2hMF7H2dO3oMz1WwIQnQw1,21,0.594,0.444,1,-9.042,0.0284,0.255,0.0,0.159,0.131,116.225,4
